,PKCosecha,PKCiclo,Fecha,Parcial,CantidadCosechada,PesoPromedio,Dispersion,VentaUSDReal,Usuario,TimeStamp,FechaSiembra,FechaCosecha,cycle_days
0,4133,3402,2021-01-06,0,1108000,0.31999999,0,0.0,17,01/13/21 12:43:36,,,
1,4134,3403,2021-01-07,0,1204469,0.31999999,0,0.0,17,01/13/21 12:44:27,,,
2,4135,3401,2021-01-06,0,1614866,0.98000002,0,0.0,17,01/13/21 14:01:22,,,
3,4136,3398,2021-01-16,1,239708,11.5,0,7125.0,17,02/13/21 15:03:00,,,
4,4137,3404,2021-01-01,0,950000,0.23999999,0,0.0,17,01/27/21 13:26:51,,,
5,4138,3396,2021-02-13,0,275143,24.540001,0,24601.0,17,04/23/21 17:48:41,,,
6,4139,3393,2021-02-10,1,179446,24.18,0,15165.0,17,04/23/21 17:48:15,,,
7,4140,3391,2021-02-15,0,897973,22.200001,0,73737.0,17,04/23/21 17:50:41,,,
8,4141,3390,2021-02-14,0,645319,22.860001,0,51767.0,17,04/23/21 17:49:57,,,
9,4142,3394,2021-02-16,0,376099,25.02,0,35046.0,17,04/23/21 17:51:08,,,
10,4143,3395,2021-02-19,0,621467,23.99,0,53888.0,17,04/23/21 17:51:58,,,
11,4144,3392,2021-02-20,0,755047,24.469999,0,65640.0,17,04/23/21 17:52:30,,,
12,4145,3412,2021-02-20,0,880000,0.80000001,0,0.0,17,02/23/21 14:31:40,2021-01-27,2021-02-20,24.0
13,4146,3413,2021-02-20,0,880000,0.80000001,0,0.0,17,02/23/21 15:12:09,2021-01-27,2021-02-20,24.0
14,4147,3414,2021-02-22,0,352800,1.0,0,0.0,17,03/02/21 01:15:24,2021-01-27,2021-02-22,26.0
15,4148,3415,2021-02-23,0,1480000,1.0,0,0.0,17,03/02/21 01:17:18,2021-01-27,2021-02-23,27.0
16,4149,3416,2021-02-24,0,1134308,0.25999999,0,0.0,17,03/02/21 01:18:22,2021-02-06,2021-02-24,18.0
17,4150,3417,2021-02-25,0,988318,0.44,0,0.0,17,03/02/21 01:19:16,2021-02-06,2021-02-25,19.0
18,4151,3407,2021-02-27,1,157183,17.75,0,9438.0,17,04/23/21 17:52:59,2021-01-01,2021-03-31,57.0
19,4152,3406,2021-03-01,1,195298,15.1,0,9173.0,17,04/23/21 17:53:52,,,
20,4154,3405,2021-02-28,1,157873,14.48,0,9988.0,17,04/23/21 17:53:27,2021-01-06,2021-04-20,53.0
21,4155,3408,2021-03-02,1,178332,14.63,0,7545.0,17,04/23/21 17:54:15,,,
22,4156,3398,2021-03-03,1,142753,24.77,0,14641.0,17,04/23/21 17:54:37,,,
23,4157,3398,2021-03-16,0,588313,27.379999,0,67969.0,17,04/23/21 17:55:20,,,
24,4158,3411,2021-03-24,1,156164,21.74,0,13222.0,17,04/23/21 17:55:53,2021-01-06,2021-04-14,77.0
25,4159,3405,2021-03-25,1,107297,22.200001,0,9058.0,17,04/23/21 17:56:20,2021-01-06,2021-04-20,78.0
26,4160,3409,2021-03-26,1,18558,25.65,0,2005.0,17,04/23/21 18:01:48,2021-01-06,2021-04-12,79.0
27,4161,3410,2021-03-27,0,728923,18.67,0,47179.0,17,04/23/21 18:02:44,2021-01-07,2021-03-27,79.0
28,4162,3393,2021-03-28,0,256993,30.459999,0,37648.0,17,04/23/21 18:03:03,,,
29,4163,3408,2021-03-29,0,636881,18.790001,0,43012.0,17,04/23/21 18:04:45,,,
30,4164,3424,2021-03-22,0,647652,1.3,0,0.0,17,03/30/21 10:26:42,2021-02-27,2021-03-22,23.0
31,4165,3426,2021-04-03,0,1080055,0.64999998,0,0.0,17,04/06/21 14:41:18,2021-03-12,2021-04-03,22.0
32,4166,3425,2021-04-04,0,970170,0.63,0,0.0,17,04/06/21 14:41:50,2021-03-12,2021-04-04,23.0
33,4167,3427,2021-04-05,0,1064000,0.77999997,0,0.0,17,04/06/21 14:42:27,2021-03-12,2021-04-05,24.0
34,4168,3406,2021-03-30,0,503848,21.049999,0,39234.0,17,04/23/21 18:05:11,,,
