,PKMuestreo,FechaMuestreo,IDPiscina,PKCiclo,KilosAlimento,FechaSiembra,FechaCosecha,CantidadSembrada,Hectareas,days_from_last_monitoring,cycle_days,survival_updated_at,Supervivencia,PesoPromedio2,CantidadCosechada,biomass_harvested,CantidadCosechada_cum,biomass_harvested_cum,stocked_minus_harvested,live_animals,live_biomass,cumulative_biomass,kg/ha/day,cumulative_fcr,density_ha,density_ha_bin,biomass_ha,NombreProveedor,Proveedor,Codigo,Especie,Origen,Proceso,Descripcion,MnProveedor,total_feed_given,cycle_feed_cost,start_weight,start_cycle_days,CantidadCosechada_harvested,VentaUSDReal,average_weight_harvest,Parcial,final_sale,partial_harvest_qty,partial_harvest_rev,final_biomass_harvested,cycle_fcr,cycle_weekly_growth_rate,rev_ha_day,cycle_feed_ha_day
0,68442,2021-04-19,80,3405,1850.0,2021-01-06,2021-04-20,1034000,9.1000004,7.0,103,,84.0,,0.0,0.0,265170.0,4668.0,768830.0,645817.0,,,29.0,,113626.0,<130K,,TEXCUMAR,TX,VLL,V,L,L,Laboratorio,SP,32965.0,33401.9,0.62,5,2060014.0,233356.0,31.0,3.0,3.0,649663.0,43035.0,45485.0,0.725,,248.97,35.17
1,68180,2021-03-29,79,3407,2600.0,2021-01-01,2021-03-31,950000,7.5999999,7.0,87,,66.0,27.19,0.0,0.0,157183.0,2790.0,792817.0,523259.0,14227.0,17017.0,48.9,1.402,125000.0,<130K,2239.0,TEXCUMAR,TX,VLL,V,L,L,Laboratorio,SP,23850.0,24254.25,0.48,3,1630735.0,166207.0,26.57,2.0,2.0,499054.0,30472.0,34473.0,0.692,2.23,251.37,36.07
2,68357,2021-04-12,86,3409,2000.0,2021-01-06,2021-04-12,678458,7.8000002,7.0,96,2021-04-12,70.0,34.2,0.0,0.0,18558.0,476.0,659900.0,461930.0,15798.0,16274.0,36.6,1.475,86982.0,<130K,2086.0,TEXCUMAR,TX,VLL,V,L,L,Laboratorio,CORQ,24000.0,25067.06,1.2,5,527311.0,68627.0,29.120001,1.0,1.0,18558.0,2005.0,14545.0,1.65,2.54,91.65,32.05
4,68280,2021-04-05,87,3411,2450.0,2021-01-06,2021-04-14,1214867,8.5,7.0,89,,56.0,30.39,0.0,0.0,156164.0,3395.0,1058703.0,592874.0,18017.0,21412.0,41.2,1.288,142926.0,130-160k,2519.0,TEXCUMAR,TX,VLL,V,L,L,Laboratorio,CORQ,27575.0,29074.63,1.2,5,848987.0,100644.0,27.5,1.0,1.0,156164.0,13222.0,22060.0,1.25,2.43,133.04,36.45
5,68851,2021-05-24,83,3418,2975.0,2021-02-20,2021-05-29,987198,8.6999998,7.0,93,2021-05-24,99.0,27.24,0.0,0.0,351378.0,7269.0,635820.0,629462.0,17147.0,24416.0,48.9,1.281,113471.0,<130K,2806.0,TEXCUMAR,TX,VLL,V,L,L,Laboratorio,SP,31275.0,32505.75,0.0,2,1680818.0,183414.0,27.5,3.0,3.0,585740.0,47196.0,37109.0,0.843,2.1,226.69,38.65
6,68852,2021-05-24,84,3419,2100.0,2021-02-20,2021-05-28,880000,7.3000002,7.0,93,2021-05-24,63.0,21.92,0.0,0.0,209141.0,3409.0,670859.0,422641.0,9264.0,12673.0,41.1,2.131,120548.0,<130K,1736.0,TEXCUMAR,TX,VLL,V,L,L,Laboratorio,SP,27000.0,28076.75,0.0,2,1721375.0,153399.0,23.0,2.0,2.0,610028.0,27154.0,31895.0,0.847,1.69,225.95,39.77
7,68775,2021-05-17,88,3421,200.0,2021-02-23,2021-05-21,1480000,11.7,7.0,83,2021-05-17,70.0,22.44,710958.0,17063.0,984441.0,22065.0,495559.0,346891.0,7784.0,29849.0,2.4,1.043,126496.0,<130K,2551.0,TEXCUMAR,TX,VLL,V,L,L,Laboratorio,SP,31125.0,32379.33,2.14,6,1119819.0,101753.0,24.0,2.0,2.0,984441.0,92844.0,24251.0,1.283,1.85,104.78,32.05
8,68859,2021-05-24,91,3422,2450.0,2021-02-24,2021-05-27,1134318,8.5,7.0,89,2021-05-24,73.0,23.6,0.0,0.0,176688.0,2827.0,957630.0,699070.0,16498.0,19325.0,41.2,1.408,133449.0,130-160k,2274.0,TEXCUMAR,TX,VLL,V,L,L,Laboratorio,SP,27200.0,28254.25,1.0,5,750475.0,67731.0,24.0,1.0,1.0,176688.0,9038.0,16428.0,1.656,1.88,89.53,35.96
9,68860,2021-05-24,92,3423,1475.0,2021-02-25,2021-05-25,988312,9.1000004,7.0,88,2021-05-24,54.0,24.98,0.0,0.0,190638.0,3136.0,797674.0,430744.0,10760.0,13896.0,23.2,1.84,108606.0,<130K,1527.0,TEXCUMAR,TX,VLL,V,L,L,Laboratorio,SP,25575.0,26704.0,1.0,4,2593556.0,311485.0,26.0,2.0,2.0,474662.0,35014.0,55584.0,0.46,2.0,388.97,31.94
10,69047,2021-06-07,85,3430,3625.0,2021-03-22,2021-06-13,647653,8.1000004,7.0,77,2021-06-07,99.0,23.1,0.0,0.0,168822.0,3630.0,478831.0,474043.0,10950.0,14580.0,63.9,1.815,79957.0,<130K,1800.0,TEXCUMAR,TX,VLL,V,L,L,Laboratorio,ACUTEC,26465.0,28055.4,3.09,7,1256421.0,127746.0,23.040001,2.0,2.0,330056.0,25404.0,24870.0,1.064,2.0,204.82,42.43
11,69161,2021-06-21,82,3432,3675.0,2021-04-03,2021-06-26,1080056,9.5,7.0,79,2021-06-21,88.0,22.75,0.0,0.0,274072.0,4947.0,805984.0,709266.0,16136.0,21083.0,55.3,1.511,113690.0,<130K,2219.0,TEXCUMAR,TX,VLL,V,L,L,Laboratorio,SP,31860.0,33544.25,0.73,2,1354927.0,125411.0,20.389999,2.0,2.0,330252.0,26543.0,25238.0,1.262,2.0,167.1,42.45
12,69160,2021-06-21,81,3433,2800.0,2021-04-04,2021-06-25,970173,8.6000004,7.0,78,2021-06-21,82.0,22.274,0.0,0.0,111831.0,1692.0,858342.0,703840.0,15677.0,17369.0,46.5,1.52,112811.0,<130K,2020.0,TEXCUMAR,TX,VLL,V,L,L,Laboratorio,SP,26400.0,27823.75,0.63,1,2124056.0,186240.0,20.610001,2.0,2.0,466781.0,23585.0,36289.0,0.727,1.97,277.64,39.36
13,69338,2021-07-05,79,3434,3000.0,2021-04-05,2021-07-06,872480,7.5999999,7.0,91,,93.0,27.0,0.0,0.0,289655.0,4788.0,582825.0,542027.0,14635.0,19423.0,56.4,1.588,114800.0,<130K,2556.0,TEXCUMAR,TX,VLL,V,L,L,Laboratorio,SP,30850.0,32195.5,2.56,7,1231805.0,122923.0,24.49,1.0,1.0,289655.0,19047.0,25320.0,1.218,2.04,177.74,44.61
14,69110,2021-06-14,90,3435,1475.0,2021-04-06,2021-06-20,746200,6.5,7.0,69,2021-06-14,67.0,16.04,0.0,0.0,0.0,0.0,746200.0,499954.0,8019.0,8019.0,32.4,1.819,114800.0,<130K,1234.0,TEXCUMAR,TX,VLL,V,L,L,Laboratorio,SP,14590.0,15605.5,1.44,6,755168.0,54147.0,18.700001,1.0,1.0,89231.0,4934.0,13562.0,1.076,1.62,120.73,32.53
17,69346,2021-07-05,87,3439,4200.0,2021-04-18,2021-07-12,1134963,8.5,7.0,78,2021-07-05,77.0,27.36,0.0,0.0,273266.0,4845.0,861697.0,663507.0,18154.0,22999.0,70.6,1.358,133525.0,130-160k,2706.0,TEXCUMAR,TX,VLL,V,L,L,Laboratorio,ACUTEC,31225.0,32012.25,0.9,1,1673107.0,174710.0,24.01,2.0,2.0,481000.0,43692.0,34244.0,0.912,2.41,263.51,47.1
18,69543,2021-08-09,80,3440,2550.0,2021-04-28,2021-08-09,1343780,9.1000004,7.0,103,2021-08-09,86.0,26.98,0.0,0.0,607502.0,11226.0,736278.0,633199.0,17084.0,28310.0,40.0,1.51,147668.0,130-160k,3111.0,TEXCUMAR,TX,VLL,V,L,L,Laboratorio,ACUTEC,42759.0,44519.55,0.93,5,1228689.0,125809.0,24.16,3.0,3.0,647502.0,53833.0,25662.0,1.666,1.86,134.22,45.62
19,69689,2021-08-23,88,3448,4175.0,2021-05-25,2021-08-26,1254400,11.7,7.0,90,2021-08-23,73.0,26.61,0.0,0.0,250922.0,4356.0,1003478.0,732539.0,19493.0,23849.0,51.0,1.735,107214.0,<130K,2038.0,TEXCUMAR,TX,VLL,V,L,L,Laboratorio,AC,41375.0,43369.5,2.23,6,2142126.0,232235.0,26.17,2.0,2.0,616592.0,39918.0,44813.0,0.923,2.03,220.55,39.29
20,69841,2021-09-06,83,3450,1500.0,2021-06-03,2021-09-07,920895,8.6999998,7.0,95,2021-09-06,44.0,27.8,0.0,0.0,0.0,0.0,920895.0,405194.0,11264.0,11264.0,24.6,2.242,105850.0,<130K,1295.0,AQUATROPICAL,AQ,VLL,V,L,L,Laboratorio,AQ,25250.0,26276.75,0.75,4,1069740.0,103689.0,23.25,1.0,1.0,181692.0,10224.0,20390.0,1.238,2.08,125.46,30.55
21,69585,2021-08-16,84,3451,2900.0,2021-06-04,2021-08-22,821250,7.3000002,7.0,73,2021-08-16,57.0,25.76,0.0,0.0,0.0,0.0,821250.0,468112.0,12059.0,12059.0,56.8,1.644,112500.0,<130K,1652.0,AQUATROPICAL,AQ,VLL,V,L,L,Laboratorio,AQ,19825.0,20664.5,0.92,3,1460675.0,156979.0,24.799999,1.0,1.0,300085.0,14446.0,29728.0,0.667,2.48,294.57,37.2
24,69842,2021-09-06,85,3459,3150.0,2021-06-19,2021-09-08,1020000,8.1000004,7.0,79,2021-09-06,95.0,25.0,0.0,0.0,250781.0,4815.0,769219.0,730758.0,18269.0,23084.0,55.6,1.309,125926.0,<130K,2850.0,TEXCUMAR,TX,VLL,V,L,L,Laboratorio,MG,30212.0,31856.9,1.1,2,1425266.0,160325.0,22.700001,1.0,1.0,250781.0,21627.0,30313.0,0.997,2.17,250.55,47.21
25,69986,2021-09-27,89,3460,2075.0,2021-06-29,2021-10-01,669900,5.5,7.0,90,2021-09-27,73.0,25.7,0.0,0.0,191685.0,3527.0,478215.0,349097.0,8972.0,12499.0,53.9,1.792,121800.0,<130K,2273.0,TEXCUMAR,TX,VLL,V,L,L,Laboratorio,ACUTEC,22400.0,23619.75,0.89,6,648890.0,61001.0,22.26,1.0,1.0,191685.0,16386.0,12257.0,1.828,2.07,123.23,45.25
26,69987,2021-09-27,90,3461,1725.0,2021-06-30,2021-09-30,746200,6.5,7.0,89,2021-09-27,73.0,25.2,0.0,0.0,263061.0,4693.0,483139.0,352691.0,8888.0,13581.0,37.9,1.633,114800.0,<130K,2089.0,TEXCUMAR,TX,VLL,V,L,L,Laboratorio,ACUTEC,22175.0,23468.75,0.85,5,1043169.0,50171.0,26.0,1.0,1.0,263061.0,20560.0,11819.0,1.876,2.03,86.73,38.33
27,70086,2021-10-04,81,3462,2050.0,2021-07-02,2021-10-06,1107600,8.6000004,7.0,94,2021-10-04,74.0,26.5,0.0,0.0,246678.0,4492.0,860922.0,637082.0,16883.0,21375.0,34.1,1.678,128791.0,<130K,2485.0,TEXCUMAR,TX,VLL,V,L,L,Laboratorio,SP,35875.0,38495.5,0.3,3,1632839.0,189437.0,24.030001,2.0,2.0,403994.0,32918.0,35081.0,1.023,2.02,234.34,44.38
31,69984,2021-09-27,87,3467,2800.0,2021-07-19,2021-10-03,833000,8.5,7.0,70,2021-09-27,68.0,23.38,0.0,0.0,0.0,0.0,833000.0,566440.0,13243.0,13243.0,47.1,1.361,98000.0,<130K,1558.0,TEXCUMAR,TX,VLL,V,L,L,Laboratorio,SP,18025.0,19136.25,2.01,7,2279092.0,238732.0,21.6,1.0,1.0,295659.0,16692.0,45746.0,0.394,2.37,401.23,30.29
32,70343,2021-11-01,92,3473,4200.0,2021-08-03,2021-11-05,1195200,9.1000004,7.0,90,2021-11-01,102.0,22.5,0.0,0.0,379765.0,5499.0,815435.0,831744.0,18714.0,24213.0,65.9,1.586,131341.0,130-160k,2661.0,TEXCUMAR,TX,VLL,V,L,L,Laboratorio,P&A,38400.0,41585.0,1.15,6,1137746.0,102428.0,23.610001,1.0,1.0,379765.0,21889.0,22940.0,1.674,1.78,125.06,46.89
35,70822,2021-12-20,84,3481,2900.0,2021-08-31,2021-12-21,1371508,7.3000002,7.0,111,,109.0,,0.0,0.0,748980.0,10272.0,622528.0,678556.0,,,56.8,,187878.0,>160k,,TEXCUMAR,TX,VLL,V,L,L,Laboratorio,P&A,53050.0,56033.0,0.92,13,1535215.0,118607.75,23.5,2.0,2.0,748980.0,36779.75,28372.0,1.87,,146.38,65.47
36,70560,2021-11-22,91,3484,1925.0,2021-09-02,2021-11-28,806851,8.5,7.0,81,2021-11-22,57.0,24.56,0.0,0.0,0.0,0.0,806851.0,459905.0,11295.0,11295.0,32.4,1.461,94924.0,<130K,1329.0,TEXCUMAR,TX,VLL,V,L,L,Laboratorio,P&A,16500.0,18405.5,0.28,4,1251812.0,133745.0,26.0,1.0,1.0,136688.0,11220.0,27802.0,0.593,2.21,194.26,23.97
37,70735,2021-12-13,83,3486,3550.0,2021-09-15,2021-12-16,1183200,8.6999998,7.0,89,2021-12-13,112.0,21.86,0.0,0.0,375785.0,5742.0,807415.0,904305.0,19768.0,25510.0,58.3,1.354,136000.0,130-160k,2932.0,TEXCUMAR,TX,VLL,V,L,L,Laboratorio,SP,34550.0,37128.0,0.79,5,2633624.0,88048.0,23.6,1.0,1.0,375785.0,19474.0,23299.0,1.483,1.76,113.71,44.62
38,70737,2021-12-13,85,3487,2375.0,2021-09-16,2021-12-13,1017600,8.1000004,7.0,88,,99.0,25.21,0.0,0.0,248920.0,4555.0,768680.0,760993.0,19185.0,23740.0,41.9,1.234,125630.0,<130K,2931.0,TEXCUMAR,TX,VLL,V,L,L,Laboratorio,SP,29300.0,31668.5,0.45,4,1831301.0,131965.0,25.5,2.0,2.0,404325.0,25136.0,32531.0,0.901,2.06,185.14,41.11
39,70738,2021-12-13,86,3488,3900.0,2021-09-16,2021-12-19,1119360,7.8000002,7.0,88,2021-12-13,123.0,22.53,0.0,0.0,421389.0,6152.0,697971.0,858504.0,19342.0,25494.0,71.4,1.278,143508.0,130-160k,3268.0,TEXCUMAR,TX,VLL,V,L,L,Laboratorio,SP,32575.0,35165.75,0.35,4,1643846.0,141802.0,23.6,2.0,2.0,529513.0,26661.0,33190.0,0.981,1.85,206.59,47.46
40,71088,2022-01-17,79,3495,2575.0,2021-10-02,2022-01-20,1048976,7.5999999,7.0,107,2022-01-17,83.0,29.0,0.0,0.0,399181.0,7176.0,649795.0,539330.0,15641.0,22817.0,48.4,1.458,138023.0,130-160k,3002.0,TEXCUMAR,TX,VLL,V,L,L,Laboratorio,P&A,33275.0,34707.75,0.3,2,1116370.0,110268.0,28.809999,2.0,2.0,399181.0,24382.0,25816.0,1.289,1.91,135.6,40.92
41,71203,2022-01-24,89,3496,1225.0,2021-10-11,2022-01-25,742500,5.5,7.0,105,2022-01-24,87.0,25.43,0.0,0.0,311887.0,4947.0,430613.0,374633.0,9527.0,14474.0,31.8,1.618,135000.0,130-160k,2632.0,TEXCUMAR,TX,VLL,V,L,L,Laboratorio,IRMART,23425.0,24627.05,0.3,0,959423.0,56008.0,23.450001,2.0,2.0,311887.0,17233.0,19494.0,1.202,1.68,96.98,40.56
42,71099,2022-01-17,90,3497,1550.0,2021-10-12,2022-01-23,884000,6.5,7.0,97,2022-01-17,50.0,27.76,0.0,0.0,136242.0,2248.0,747758.0,373879.0,10379.0,12627.0,34.1,1.602,136000.0,130-160k,1943.0,TEXCUMAR,TX,VLL,V,L,L,Laboratorio,IRMART,20225.0,21618.75,0.59,6,831893.0,85179.0,28.0,1.0,1.0,136242.0,7177.0,19223.0,1.052,2.09,135.1,32.08
43,71354,2022-01-31,82,3498,2350.0,2021-10-13,2022-01-31,1170400,9.5,7.0,110,,79.0,31.5,0.0,0.0,451454.0,7627.0,718946.0,567967.0,17891.0,25518.0,35.3,1.461,123200.0,<130K,2686.0,TEXCUMAR,TX,VLL,V,L,L,Laboratorio,IRMART,37275.0,39835.25,0.64,5,1033951.0,98247.0,27.83,2.0,2.0,451454.0,27722.0,23044.0,1.618,2.06,94.02,35.67
44,71195,2022-01-24,81,3499,1975.0,2021-10-14,2022-01-24,1100800,8.6000004,7.0,102,,86.0,,0.0,0.0,481791.0,8642.0,619009.0,532348.0,,,32.8,,128000.0,<130K,,TEXCUMAR,TX,VLL,V,L,L,Laboratorio,PUNK SP,35625.0,38129.5,0.39,4,1800840.0,229338.0,27.299999,3.0,3.0,654304.0,46613.0,42921.0,0.83,,261.44,40.61
45,71096,2022-01-17,87,3500,3275.0,2021-10-14,2022-01-22,1020000,8.5,7.0,95,2022-01-17,97.0,30.0,0.0,0.0,427152.0,7396.0,592848.0,575063.0,17252.0,24648.0,55.0,1.316,120000.0,<130K,2900.0,TEXCUMAR,TX,VLL,V,L,L,Laboratorio,IRMART,32425.0,34137.5,0.4,4,1113996.0,100326.0,25.91,2.0,2.0,427152.0,24093.0,24169.0,1.342,2.28,124.24,40.15
46,71352,2022-01-31,80,3503,3100.0,2021-11-12,2022-02-04,1314950,9.1000004,7.0,80,,82.0,21.0,274646.0,4658.0,505613.0,7716.0,809337.0,663656.0,13937.0,21653.0,48.7,1.379,144500.0,130-160k,2379.0,TEXCUMAR,TX,VLL,V,L,L,Laboratorio,SP,29850.0,32697.5,0.27,3,1865424.0,87808.0,20.82,2.0,2.0,505613.0,29277.0,23176.0,1.288,1.88,120.62,41.0
47,71384,2022-02-07,92,3504,2775.0,2021-11-12,2022-02-13,1469650,9.1000004,7.0,87,2022-02-07,43.0,26.54,291779.0,7347.0,818265.0,16733.0,651385.0,280096.0,7434.0,24167.0,43.6,1.447,161500.0,>160k,2656.0,TEXCUMAR,TX,VLL,V,L,L,Laboratorio,SP,34975.0,37987.0,0.37,3,1547524.0,95253.0,28.309999,3.0,3.0,818265.0,68207.0,23688.0,1.476,2.18,120.31,44.18
48,71555,2022-02-21,91,3510,2300.0,2021-12-02,2022-02-25,992800,8.5,7.0,81,2022-02-21,56.0,26.28,0.0,0.0,328197.0,7345.0,664603.0,372178.0,9781.0,17126.0,38.7,1.371,116800.0,<130K,2015.0,TEXCUMAR,TX,VLL,V,L,L,Laboratorio,ACUTEC,23475.0,25305.25,0.89,4,1573191.0,148948.0,23.5,3.0,3.0,565537.0,47270.0,32117.0,0.731,2.31,216.34,34.1
49,71474,2022-02-14,88,3511,4200.0,2021-12-03,2022-02-19,1428969,11.7,7.0,73,2022-02-14,78.0,21.7,262587.0,4527.0,262587.0,4527.0,1166382.0,909778.0,19742.0,24269.0,51.3,1.244,122134.0,<130K,2074.0,TEXCUMAR,TX,VLL,V,L,L,Laboratorio,ACUTEC,30200.0,32403.5,1.0,3,1798319.0,180165.0,24.809999,2.0,2.0,381084.0,29420.0,37552.0,0.804,2.07,210.94,35.36
50,71601,2022-02-28,86,3515,3850.0,2021-12-26,2022-03-07,1215500,7.8000002,7.0,64,2022-02-28,100.0,21.7,203151.0,3675.0,365988.0,6155.0,849512.0,849512.0,18434.0,24589.0,70.5,1.006,155833.0,130-160k,3152.0,TEXCUMAR,TX,VLL,V,L,L,Laboratorio,SP,24725.0,26339.25,0.38,1,3075767.0,85220.0,22.6,2.0,2.0,365988.0,24325.0,20700.0,1.194,2.37,170.71,49.53
51,71731,2022-03-07,83,3516,3625.0,2021-12-27,2022-03-08,1238400,8.6999998,7.0,70,,65.0,25.8,0.0,0.0,228262.0,4111.0,1010138.0,656590.0,16940.0,21051.0,59.5,1.388,142345.0,130-160k,2420.0,TEXCUMAR,TX,VLL,V,L,L,Laboratorio,SP,29225.0,31049.75,0.37,0,1050054.0,97458.0,24.08,1.0,1.0,228262.0,16458.0,22225.0,1.315,2.54,160.03,47.99
52,71600,2022-02-28,85,3517,4275.0,2021-12-27,2022-03-08,1271080,8.1000004,7.0,63,2022-02-28,85.0,21.7,0.0,0.0,283344.0,4287.0,987736.0,839576.0,18219.0,22506.0,75.4,1.146,156923.0,130-160k,2779.0,TEXCUMAR,TX,VLL,V,L,L,Laboratorio,SP,25800.0,27523.0,0.4,0,1636598.0,164569.0,25.08,2.0,2.0,385160.0,21791.0,34880.0,0.74,2.37,322.49,50.56
53,71599,2022-02-28,84,3518,3450.0,2021-12-28,2022-03-04,1086240,7.3000002,7.0,62,2022-02-28,57.0,25.0,0.0,0.0,0.0,0.0,1086240.0,619157.0,15479.0,15479.0,67.5,1.355,148800.0,130-160k,2120.0,TEXCUMAR,TX,VLL,V,L,L,Laboratorio,SP,20975.0,22491.5,1.6,6,1283626.0,145823.0,24.76,1.0,1.0,146457.0,10005.0,29269.0,0.717,2.92,322.19,46.34
54,72168,2022-04-11,79,3525,3971.0,2022-01-27,2022-04-17,1060500,7.5999999,7.0,74,2022-04-11,80.0,28.8,0.0,0.0,445820.0,9427.0,614680.0,491744.0,14162.0,23589.0,74.6,1.337,139539.0,130-160k,3104.0,TEXCUMAR,TX,VLL,V,L,L,Laboratorio,SP,31546.0,34150.0,0.3,4,3021253.0,96521.0,27.139999,2.0,2.0,445820.0,39253.0,23513.0,1.342,2.85,171.62,56.09
55,72358,2022-04-18,81,3526,5600.0,2022-01-30,2022-04-21,1323540,8.6000004,7.0,78,2022-04-18,84.0,25.5,0.0,0.0,580441.0,9558.0,743099.0,624203.0,15917.0,25475.0,93.0,1.606,153900.0,130-160k,2962.0,TEXCUMAR,TX,VLL,V,L,L,Laboratorio,PUNK SP,40925.0,46406.0,0.33,1,3184170.0,101611.0,24.17,2.0,2.0,580441.0,36367.0,26418.0,1.549,2.29,151.48,61.01
56,72178,2022-04-11,89,3527,2350.0,2022-01-30,2022-04-12,730080,5.5,7.0,71,2022-04-11,90.0,24.0,0.0,0.0,356628.0,6203.0,373452.0,336107.0,8067.0,14270.0,61.0,1.368,132742.0,130-160k,2595.0,TEXCUMAR,TX,VLL,V,L,L,Laboratorio,SP,19525.0,21660.25,1.72,8,2418449.0,57011.0,22.700001,2.0,2.0,356628.0,23805.0,15323.0,1.274,2.48,145.99,50.0
